Name,Link,Birth Date,Height (meter),Weight (Kg),Nationalities,Total points,Per Game Point,Total Rebounds,Per Game Rebounds,Total Assists,Per Game Assists
Nick Johnson,https://en.wikipedia.org/wiki/Nick_Johnson_(basketball),1992-12-22,1.91,91.0,American,,,,,,
Ollie Johnson,"https://en.wikipedia.org/wiki/Ollie_Johnson_(basketball,_born_1949)",1949-05-11,1.98,91.0,American,5341.0,7.7,2280.0,3.3,1212.0,1.8
Orlando Johnson,https://en.wikipedia.org/wiki/Orlando_Johnson,1989-03-11,1.96,100.0,American,,,,,,
Reggie Johnson,"https://en.wikipedia.org/wiki/Reggie_Johnson_(basketball,_born_1957)",1957-06-25,2.06,93.0,American,2564.0,8.4,1238.0,4.1,262.0,0.9
Rich Johnson,https://en.wikipedia.org/wiki/Rich_Johnson_(basketball),1946-12-18,2.01,95.0,American,677.0,5.0,417.0,3.1,58.0,0.4
Ron Johnson,https://en.wikipedia.org/wiki/Ron_Johnson_(basketball),1938-07-20,2.03,98.0,American,,,,,,
Splinter Johnson,https://en.wikipedia.org/wiki/Splinter_Johnson,1920-06-16,1.91,86.0,American,,,,,,
Stanley Johnson,https://en.wikipedia.org/wiki/Stanley_Johnson_(basketball),1996-05-29,2.01,111.0,American,,,,,,
Steffond Johnson,https://en.wikipedia.org/wiki/Steffond_Johnson,1962-11-04,2.03,109.0,American,,,,,,
Steve Johnson,https://en.wikipedia.org/wiki/Steve_Johnson_(basketball),1957-11-03,2.08,107.0,American,7345.0,11.7,3450.0,5.5,777.0,1.2
Stew Johnson,https://en.wikipedia.org/wiki/Stew_Johnson,1944-08-19,2.03,100.0,American,10538.0,16.3,4263.0,6.6,984.0,1.5
Trey Johnson,https://en.wikipedia.org/wiki/Trey_Johnson,1984-08-30,1.96,98.0,"American,Qatari",,,,,,
Tyler Johnson,https://en.wikipedia.org/wiki/Tyler_Johnson_(basketball),1992-05-07,1.93,84.0,American,,,,,,
Vinnie Johnson,https://en.wikipedia.org/wiki/Vinnie_Johnson,1956-09-01,1.88,91.0,American,11825.0,12.0,3109.0,3.2,3212.0,3.3
Wesley Johnson,https://en.wikipedia.org/wiki/Wesley_Johnson_(basketball),1987-07-11,2.01,98.0,American,,,,,,
Nate Johnston,https://en.wikipedia.org/wiki/Nate_Johnston,1966-12-18,2.03,95.0,American,,,,,,
Neil Johnston,https://en.wikipedia.org/wiki/Neil_Johnston,1929-02-04,2.03,95.0,American,10023.0,19.4,5856.0,11.3,1269.0,2.5
Jim Johnstone,https://en.wikipedia.org/wiki/Jim_Johnstone_(basketball),,,,,,,,,,
Howie Jolliff,https://en.wikipedia.org/wiki/Howie_Jolliff,1938-07-20,2.01,99.0,American,388.0,2.8,586.0,4.2,112.0,0.8
Alvin Jones,https://en.wikipedia.org/wiki/Alvin_Jones,1978-09-09,2.11,120.0,"American,Luxembourgian",,,,,,
Anthony Jones,https://en.wikipedia.org/wiki/Anthony_Jones_(basketball),1962-09-13,1.98,88.0,American,,,,,,
Askia Jones,https://en.wikipedia.org/wiki/Askia_Jones,1971-12-03,1.96,91.0,"American,Venezuelan",,,,,,
Bill Jones,"https://en.wikipedia.org/wiki/Bill_Jones_(basketball,_born_1914)",1914-02-03,,,American,,,,,,
Bill Jones,"https://en.wikipedia.org/wiki/Bill_Jones_(basketball,_born_1966)",1966-03-18,2.01,79.0,American,,,,,,
Bobby Jones,"https://en.wikipedia.org/wiki/Bobby_Jones_(basketball,_born_1951)",1951-12-18,2.06,95.0,American,11391.0,12.1,5739.0,6.1,2522.0,2.7
Bobby Jones,"https://en.wikipedia.org/wiki/Bobby_Jones_(basketball,_born_1984)",1984-01-09,2.01,98.0,"American,Equatorial Guinean",,,,,,
Caldwell Jones,https://en.wikipedia.org/wiki/Caldwell_Jones,1950-08-04,2.11,98.0,American,10241.0,7.9,10685.0,8.2,,
Charles Jones,"https://en.wikipedia.org/wiki/Charles_Jones_(basketball,_born_1957)",1957-04-03,2.06,98.0,American,1826.0,2.5,3253.0,4.5,,
Charles Jones,"https://en.wikipedia.org/wiki/Charles_Jones_(basketball,_born_1962)",1962-01-12,2.03,98.0,American,,,,,,
Charles Jones,"https://en.wikipedia.org/wiki/Charles_Jones_(basketball,_born_1975)",1975-07-17,1.91,82.0,,,,,,,
Collis Jones,https://en.wikipedia.org/wiki/Collis_Jones,,,,,,,,,,
Dahntay Jones,https://en.wikipedia.org/wiki/Dahntay_Jones,1980-12-27,1.98,102.0,American,,,,,,
Damian Jones,https://en.wikipedia.org/wiki/Damian_Jones_(basketball),1995-06-30,2.13,111.0,American,,,,,,
Damon Jones,https://en.wikipedia.org/wiki/Damon_Jones,1976-08-25,1.93,91.0,American,4326.0,6.6,1074.0,1.6,1806.0,2.7
DeQuan Jones,https://en.wikipedia.org/wiki/DeQuan_Jones,1990-06-20,2.03,100.0,American,,,,,,
Dominique Jones,https://en.wikipedia.org/wiki/Dominique_Jones,1988-10-15,1.96,98.0,American,,,,,,
Dwayne Jones,https://en.wikipedia.org/wiki/Dwayne_Jones_(basketball),1983-06-09,2.11,113.0,American,,,,,,
Dwight Jones,https://en.wikipedia.org/wiki/Dwight_Jones_(basketball),1952-02-27,2.08,95.0,American,6230.0,8.1,4513.0,5.9,911.0,1.2
Earl Jones,https://en.wikipedia.org/wiki/Earl_Jones_(basketball),1961-01-13,2.13,95.0,American,,,,,,
Eddie Jones,https://en.wikipedia.org/wiki/Eddie_Jones_(basketball),1971-10-20,1.98,91.0,American,14155.0,14.8,3857.0,4.0,,
Edgar Jones,https://en.wikipedia.org/wiki/Edgar_Jones_(basketball),1956-06-17,2.08,102.0,American,3257.0,9.0,1745.0,4.8,,
Fred Jones,https://en.wikipedia.org/wiki/Fred_Jones_(basketball),1979-03-11,1.93,100.0,American,,,,,,
Hutch Jones,https://en.wikipedia.org/wiki/Hutch_Jones,1959-09-01,2.03,86.0,American,,,,,,
Jake Jones,https://en.wikipedia.org/wiki/Jake_Jones_(basketball),1949-05-09,1.91,82.0,American,,,,,,
James Jones,https://en.wikipedia.org/wiki/James_Jones_(basketball_player),1980-10-04,2.03,99.0,American,,,,,,
Jimmy Jones,https://en.wikipedia.org/wiki/Jimmy_Jones_(basketball),1945-01-01,1.93,85.0,American,11366.0,16.3,2930.0,4.6,3069.0,4.5
Johnny Jones,"https://en.wikipedia.org/wiki/Johnny_Jones_(basketball,_born_1943)",1943-03-12,2.01,93.0,American,,,,,,
Jumaine Jones,https://en.wikipedia.org/wiki/Jumaine_Jones,1979-02-10,2.03,104.0,American,,,,,,
Kevin Jones,https://en.wikipedia.org/wiki/Kevin_Jones_(basketball),1989-08-25,2.03,113.0,American,,,,,,
Larry Jones,https://en.wikipedia.org/wiki/Larry_Jones_(basketball),1942-09-22,1.88,82.0,American,10505.0,19.1,2725.0,4.9,2030.0,3.7
Major Jones,https://en.wikipedia.org/wiki/Major_Jones,1953-07-09,2.06,102.0,American,1643.0,4.4,1323.0,3.5,215.0,0.6
Mark Jones,"https://en.wikipedia.org/wiki/Mark_Jones_(basketball,_born_1961)",1961-04-10,1.85,79.0,American,,,,,,
Mark Jones,"https://en.wikipedia.org/wiki/Mark_Jones_(basketball,_born_1975)",,,,,,,,,,
Nick Jones,https://en.wikipedia.org/wiki/Nick_Jones_(basketball),1945-03-28,1.88,86.0,American,,,,,,
Ozell Jones,https://en.wikipedia.org/wiki/Ozell_Jones,1960-11-20,2.11,107.0,American,,,,,,
Perry Jones III,https://en.wikipedia.org/wiki/Perry_Jones_III,1991-09-24,2.11,107.0,American,,,,,,
Popeye Jones,https://en.wikipedia.org/wiki/Popeye_Jones,1970-06-17,2.03,113.0,American,3726.0,7.0,3981.0,7.4,696.0,1.3
Rich Jones,https://en.wikipedia.org/wiki/Rich_Jones_(basketball),1946-12-27,1.98,100.0,American,7922.0,15.6,3759.0,7.4,1394.0,2.7
Robin Jones,https://en.wikipedia.org/wiki/Robin_Jones_(basketball),1954-02-02,2.06,102.0,American,,,,,,
Sam Jones,https://en.wikipedia.org/wiki/Sam_Jones_(basketball),1933-06-24,1.93,90.0,American,15411.0,17.7,4305.0,4.9,2209.0,2.5
Shelton Jones,https://en.wikipedia.org/wiki/Shelton_Jones,1966-04-04,2.06,95.0,American,,,,,,
Solomon Jones,https://en.wikipedia.org/wiki/Solomon_Jones_(basketball),1984-07-16,2.08,111.0,American,,,,,,
Steve Jones,https://en.wikipedia.org/wiki/Steve_Jones_(basketball),1942-10-17,1.96,93.0,American,,,,,,
Terrence Jones,https://en.wikipedia.org/wiki/Terrence_Jones,1992-01-09,2.06,116.0,American,,,,,,
Tyus Jones,https://en.wikipedia.org/wiki/Tyus_Jones,1996-05-10,1.88,88.0,American,,,,,,
Wah Wah Jones,https://en.wikipedia.org/wiki/Wah_Wah_Jones,1926-07-14,1.93,102.0,American,1428.0,10.2,408.0,5.1,429.0,3.1
Wali Jones,https://en.wikipedia.org/wiki/Wali_Jones,1942-02-14,1.88,82.0,American,6672.0,9.8,1471.0,2.2,2099.0,3.1
Wil Jones,https://en.wikipedia.org/wiki/Wil_Jones,1947-02-27,2.03,93.0,American,8482.0,11.7,5560.0,7.7,1446.0,2.0
Willie Jones,https://en.wikipedia.org/wiki/Willie_Jones_(basketball),1936-06-29,1.91,84.0,American,,,,,,
Adonis Jordan,https://en.wikipedia.org/wiki/Adonis_Jordan,1970-08-21,1.8,77.0,American,,,,,,
Charles Jordan,https://en.wikipedia.org/wiki/Charles_Jordan_(basketball),1954-01-31,2.03,100.0,American,,,,,,
DeAndre Jordan,https://en.wikipedia.org/wiki/DeAndre_Jordan,1988-07-21,2.11,120.0,American,,,,,,
Eddie Jordan,https://en.wikipedia.org/wiki/Eddie_Jordan_(basketball),1955-01-29,1.85,77.0,American,3414.0,8.1,788.0,1.9,1595.0,3.8
Jerome Jordan,https://en.wikipedia.org/wiki/Jerome_Jordan,1986-09-29,2.13,115.0,Jamaican,,,,,,
Michael Jordan,https://en.wikipedia.org/wiki/Michael_Jordan,1963-02-17,1.98,98.0,American,32292.0,30.1,6672.0,6.2,5633.0,5.3
Reggie Jordan,https://en.wikipedia.org/wiki/Reggie_Jordan,1968-01-26,1.93,88.0,American,,,,,,
Thomas Jordan,https://en.wikipedia.org/wiki/Thomas_Jordan_(basketball),1968-05-23,2.08,100.0,American,,,,,,
Walter Jordan,https://en.wikipedia.org/wiki/Walter_Jordan,1956-02-19,2.01,90.0,American,,,,,,
Phil Jordon,https://en.wikipedia.org/wiki/Phil_Jordon,1933-09-12,2.08,93.0,American,4833.0,10.9,3028.0,6.9,769.0,1.7
Johnny Jorgensen,https://en.wikipedia.org/wiki/Johnny_Jorgensen,1921-12-28,1.88,84.0,American,,,,,,
Noble Jorgensen,https://en.wikipedia.org/wiki/Noble_Jorgensen,1925-05-18,2.06,103.0,,,,,,,
Roger Jorgensen,https://en.wikipedia.org/wiki/Roger_Jorgensen,,,,,,,,,,
Cory Joseph,https://en.wikipedia.org/wiki/Cory_Joseph,1991-08-20,1.91,86.0,Canadian,,,,,,
Garth Joseph,https://en.wikipedia.org/wiki/Garth_Joseph,1973-08-08,2.18,143.0,Dominican,,,,,,
Kris Joseph,https://en.wikipedia.org/wiki/Kris_Joseph,1988-12-17,2.01,95.0,Canadian,,,,,,
Yvon Joseph,https://en.wikipedia.org/wiki/Yvon_Joseph,1957-10-31,2.11,111.0,Haitian,,,,,,
Jimmy Joyce,https://en.wikipedia.org/wiki/Jimmy_Joyce,,,,,,,,,,
Kevin Joyce,https://en.wikipedia.org/wiki/Kevin_Joyce_(basketball),1951-06-27,1.91,86.0,American,,,,,,
Butch Joyner,https://en.wikipedia.org/wiki/Butch_Joyner,1945-04-26,1.96,91.0,American,,,,,,
Jeff Judkins,https://en.wikipedia.org/wiki/Jeff_Judkins,1956-03-27,1.98,84.0,American,1482.0,5.4,427.0,1.6,282.0,1.0
Paul Juntunen,https://en.wikipedia.org/wiki/Paul_Juntunen,1921-02-13,1.85,82.0,American,,,,,,
Luther Rackley,https://en.wikipedia.org/wiki/Luther_Rackley,1946-06-11,2.08,100.0,American,,,,,,
Howie Rader,https://en.wikipedia.org/wiki/Howie_Rader,,,,,,,,,,
Mark Radford,https://en.wikipedia.org/wiki/Mark_Radford_(basketball),1959-07-05,1.93,86.0,American,,,,,,
Wayne Radford,https://en.wikipedia.org/wiki/Wayne_Radford,1956-05-29,1.91,93.0,American,,,,,,
Frank Radovich,https://en.wikipedia.org/wiki/Frank_Radovich,1938-03-03,2.03,107.0,American,87.0,2.4,51.0,1.4,4.0,0.1
Moe Radovich,https://en.wikipedia.org/wiki/Moe_Radovich,"May 5, 1929",1.83,73.0,American,,,,,,
Miroslav Raduljica,https://en.wikipedia.org/wiki/Miroslav_Raduljica,1988-01-05,2.13,113.0,Serbian,,,,,,
Ray Radziszewski,https://en.wikipedia.org/wiki/Ray_Radziszewski,1935-03-01,1.96,95.0,American,,,,,,
Jim Rae,https://en.wikipedia.org/wiki/Jim_Rae_(basketball),1917-10-07,1.93,91.0,American,,,,,,
Ray Ragelis,https://en.wikipedia.org/wiki/Ray_Ragelis,1928-12-10,1.93,93.0,American,,,,,,
Sherwin Raiken,https://en.wikipedia.org/wiki/Sherwin_Raiken,,,,,,,,,,
Ed Rains,https://en.wikipedia.org/wiki/Ed_Rains,1956-12-24,2.01,86.0,American,,,,,,
Kurt Rambis,https://en.wikipedia.org/wiki/Kurt_Rambis,1958-02-25,2.03,97.0,"Greek,American",4603.0,5.2,4961.0,5.6,931.0,1.1
Peter John Ramos,https://en.wikipedia.org/wiki/Peter_John_Ramos,1985-05-23,2.22,134.0,Puerto Rican,,,,,,
Cal Ramsey,https://en.wikipedia.org/wiki/Cal_Ramsey,1937-07-13,1.93,91.0,American,,,,,,
Frank Ramsey,https://en.wikipedia.org/wiki/Frank_Ramsey_(basketball),1931-07-13,1.91,86.0,American,8378.0,13.4,3410.0,5.5,1134.0,1.8
Ray Ramsey,https://en.wikipedia.org/wiki/Ray_Ramsey,,,,,,,,,,
Mark Randall,https://en.wikipedia.org/wiki/Mark_Randall_(basketball),1967-09-30,2.03,107.0,American,,,,,,
Chasson Randle,https://en.wikipedia.org/wiki/Chasson_Randle,1993-02-05,1.88,84.0,American,,,,,,
Julius Randle,https://en.wikipedia.org/wiki/Julius_Randle,1994-11-29,2.06,113.0,American,,,,,,
Anthony Randolph,https://en.wikipedia.org/wiki/Anthony_Randolph,1989-07-15,2.11,104.0,American,,,,,,
Shavlik Randolph,https://en.wikipedia.org/wiki/Shavlik_Randolph,1983-11-24,2.08,107.0,American,,,,,,
Zach Randolph,https://en.wikipedia.org/wiki/Zach_Randolph,1981-07-16,2.06,118.0,American,,,,,,
Wally Rank,https://en.wikipedia.org/wiki/Wally_Rank,1958-03-01,1.98,100.0,American,,,,,,
Kelvin Ransey,https://en.wikipedia.org/wiki/Kelvin_Ransey,1958-05-03,1.85,77.0,American,5380.0,11.4,901.0,1.9,2480.0,5.2
Sam Ranzino,https://en.wikipedia.org/wiki/Sam_Ranzino,"June 21, 1927",1.85,84.0,,,,,,,
Bobby Rascoe,https://en.wikipedia.org/wiki/Bobby_Rascoe,,,,,,,,,,
Blair Rasmussen,https://en.wikipedia.org/wiki/Blair_Rasmussen,1962-11-13,2.13,113.0,American,5119.0,9.6,3006.0,5.7,,
George Ratkovicz,https://en.wikipedia.org/wiki/George_Ratkovicz,1922-11-13,1.98,100.0,American,,,,,,
Ed Ratleff,https://en.wikipedia.org/wiki/Ed_Ratleff,1950-03-29,1.98,88.0,American,2813.0,8.3,1363.0,4.0,896.0,2.7
Mike Ratliff,https://en.wikipedia.org/wiki/Mike_Ratliff,1951-06-07,2.08,104.0,American,,,,,,
Theo Ratliff,https://en.wikipedia.org/wiki/Theo_Ratliff,1973-04-17,2.08,107.0,American,5809.0,7.2,4596.0,5.7,465.0,0.8
Andy Rautins,https://en.wikipedia.org/wiki/Andy_Rautins,1986-11-02,1.93,86.0,Canadian,,,,,,
Leo Rautins,https://en.wikipedia.org/wiki/Leo_Rautins,1960-03-20,2.03,98.0,Canadian,,,,,,
Allan Ray,https://en.wikipedia.org/wiki/Allan_Ray,1984-06-17,1.88,86.0,American,,,,,,
Clifford Ray,https://en.wikipedia.org/wiki/Clifford_Ray,1949-01-21,2.06,104.0,American,5821.0,7.4,6953.0,8.9,1728.0,2.2
Don Ray,https://en.wikipedia.org/wiki/Don_Ray_(basketball),1921-07-08,1.96,86.0,American,,,,,,
James Ray,https://en.wikipedia.org/wiki/James_Ray_(basketball),1957-07-27,2.03,98.0,American,,,,,,
Jim Ray,https://en.wikipedia.org/wiki/Jim_Ray_(basketball),1934-01-12,1.85,82.0,American,,,,,,
Jimmy Rayl,https://en.wikipedia.org/wiki/Jimmy_Rayl,1941-06-21,1.88,79.0,American,,,,,,
Craig Raymond,https://en.wikipedia.org/wiki/Craig_Raymond,1945-04-05,2.11,107.0,American,1658.0,6.9,1510.0,6.3,327.0,1.4
Connie Rea,https://en.wikipedia.org/wiki/Connie_Rea,1935-01-27,1.91,79.0,American,,,,,,
Joe Reaves,https://en.wikipedia.org/wiki/Joe_Reaves,,,,,,,,,,
Eldridge Recasner,https://en.wikipedia.org/wiki/Eldridge_Recasner,1967-12-14,1.91,86.0,,,,,,,
Michael Redd,https://en.wikipedia.org/wiki/Michael_Redd,1979-08-24,1.98,98.0,American,,,,,,
Frank Reddout,https://en.wikipedia.org/wiki/Frank_Reddout,,1.96,88.0,American,,,,,,
Marlon Redmond,https://en.wikipedia.org/wiki/Marlon_Redmond,,,,,,,,,,
Hub Reed,https://en.wikipedia.org/wiki/Hub_Reed,1936-10-04,2.06,98.0,American,2618.0,5.5,2449.0,5.1,367.0,0.8
Justin Reed,https://en.wikipedia.org/wiki/Justin_Reed,1982-01-16,2.03,109.0,American,,,,,,
Ron Reed,https://en.wikipedia.org/wiki/Ron_Reed,1942-11-02,1.96,93.0,American,,,,,,
Willie Reed,https://en.wikipedia.org/wiki/Willie_Reed,1990-05-16,2.11,111.0,American,,,,,,
Willis Reed,https://en.wikipedia.org/wiki/Willis_Reed,1942-06-25,2.06,109.0,American,12183.0,18.7,8414.0,12.9,1186.0,1.8
Bryant Reeves,https://en.wikipedia.org/wiki/Bryant_Reeves,1973-06-08,2.13,125.0,American,4945.0,12.5,2745.0,6.9,,
Khalid Reeves,https://en.wikipedia.org/wiki/Khalid_Reeves,1972-07-15,1.91,90.0,American,2167.0,7.8,580.0,2.1,886.0,3.2
Richie Regan,https://en.wikipedia.org/wiki/Richie_Regan,1930-11-23,1.88,82.0,American,1785.0,8.3,554.0,2.6,629.0,2.9
Don Rehfeldt,https://en.wikipedia.org/wiki/Don_Rehfeldt,1927-01-07,2.01,95.0,American,692.0,7.1,494.0,5.0,118.0,1.2
Fred Rehm,https://en.wikipedia.org/wiki/Fred_Rehm,1921-05-18,1.88,,American,,,,,,
Billy Reid,https://en.wikipedia.org/wiki/Billy_Reid_(basketball),1957-09-10,1.96,86.0,American,,,,,,
Don Reid,https://en.wikipedia.org/wiki/Don_Reid_(basketball),1973-12-30,2.03,113.0,American,1454.0,3.6,1169.0,2.9,,
Jim Reid,https://en.wikipedia.org/wiki/Jim_Reid_(basketball),1945-08-03,1.98,95.0,American,,,,,,
Robert Reid,https://en.wikipedia.org/wiki/Robert_Reid_(basketball),1955-08-30,2.03,93.0,American,10448.0,11.4,4168.0,4.5,2500.0,2.7
Ryan Reid,https://en.wikipedia.org/wiki/Ryan_Reid,1986-10-30,2.03,107.0,"Jamaican,American",,,,,,
Jared Reiner,https://en.wikipedia.org/wiki/Jared_Reiner,1982-04-08,2.11,116.0,American,,,,,,
Chick Reiser,https://en.wikipedia.org/wiki/Chick_Reiser,1914-12-17,1.8,75.0,American,1773.0,10.4,,,346.0,2.0
Marty Reiter,https://en.wikipedia.org/wiki/Marty_Reiter,1911-08-25,1.7,73.0,American,,,,,,
Richard Rellford,https://en.wikipedia.org/wiki/Richard_Rellford,1964-02-16,2.01,104.0,American,,,,,,
Terrence Rencher,https://en.wikipedia.org/wiki/Terrence_Rencher,1973-02-19,1.91,84.0,American,,,,,,
John Rennicke,https://en.wikipedia.org/wiki/John_Rennicke,"August 11, 1929",1.88,84.0,American,,,,,,
Bob Rensberger,https://en.wikipedia.org/wiki/Bob_Rensberger,1921-03-07,1.88,77.0,American,,,,,,
Efthimios Rentzias,https://en.wikipedia.org/wiki/Efthimios_Rentzias,1976-01-11,2.11,118.0,Greek,,,,,,
Shawn Respert,https://en.wikipedia.org/wiki/Shawn_Respert,1972-02-06,1.91,88.0,American,851.0,4.9,226.0,1.3,177.0,1.0
Kevin Restani,https://en.wikipedia.org/wiki/Kevin_Restani,1951-12-23,2.06,102.0,American,3386.0,6.2,2206.0,4.0,747.0,1.4
George Reynolds,https://en.wikipedia.org/wiki/George_Reynolds_(basketball),1947-11-23,1.93,88.0,American,,,,,,
Jerry Reynolds,"https://en.wikipedia.org/wiki/Jerry_Reynolds_(basketball,_born_1962)",1962-12-23,2.03,91.0,American,4036.0,9.1,1317.0,3.0,904.0,2.0
Kendall Rhine,https://en.wikipedia.org/wiki/Kendall_Rhine,1943-02-13,2.08,104.0,American,,,,,,
Gene Rhodes,https://en.wikipedia.org/wiki/Gene_Rhodes,1927-09-02,1.85,77.0,American,,,,,,
Rodrick Rhodes,https://en.wikipedia.org/wiki/Rodrick_Rhodes,1973-09-24,1.98,102.0,American,,,,,,
Del Rice,https://en.wikipedia.org/wiki/Del_Rice,,,,,,,,,,
Glen Rice,https://en.wikipedia.org/wiki/Glen_Rice,1967-05-28,2.03,103.0,American,18336.0,18.3,4387.0,4.4,2097.0,2.1
Chris Richard,https://en.wikipedia.org/wiki/Chris_Richard_(basketball),1984-12-25,2.06,116.0,American,,,,,,
Clint Richardson,https://en.wikipedia.org/wiki/Clint_Richardson,1956-08-07,1.91,88.0,American,4084.0,7.0,1378.0,2.4,1461.0,2.5
Jason Richardson,https://en.wikipedia.org/wiki/Jason_Richardson,1981-01-20,1.98,102.0,American,14644.0,17.1,4245.0,5.0,2284.0,2.7
Jeremy Richardson,https://en.wikipedia.org/wiki/Jeremy_Richardson,1984-03-01,2.01,95.0,American,,,,,,
Josh Richardson,https://en.wikipedia.org/wiki/Josh_Richardson,1993-09-15,1.98,91.0,American,,,,,,
Malachi Richardson,https://en.wikipedia.org/wiki/Malachi_Richardson,1996-01-05,1.98,93.0,American,,,,,,
Micheal Ray Richardson,https://en.wikipedia.org/wiki/Micheal_Ray_Richardson,1955-04-11,1.96,86.0,American,8253.0,14.8,,,3899.0,7.0
Norman Richardson,https://en.wikipedia.org/wiki/Norman_Richardson_(basketball),1979-07-24,1.96,86.0,American,,,,,,
Pooh Richardson,https://en.wikipedia.org/wiki/Pooh_Richardson,1966-05-14,1.85,82.0,American,7083.0,11.1,1807.0,2.8,4180.0,6.5
Quentin Richardson,https://en.wikipedia.org/wiki/Quentin_Richardson,1980-04-13,1.98,103.0,American,8032.0,10.3,3666.0,4.7,1138.0,1.5
Mitch Richmond,https://en.wikipedia.org/wiki/Mitch_Richmond,1965-06-30,1.96,98.0,American,20497.0,21.0,3801.0,3.9,3398.0,3.5
John Richter,https://en.wikipedia.org/wiki/John_Richter,1937-03-12,2.06,102.0,American,285.0,4.3,312.0,4.7,27.0,0.4
Dick Ricketts,https://en.wikipedia.org/wiki/Dick_Ricketts,1933-12-04,2.01,98.0,American,1974.0,9.3,1337.0,6.3,447.0,2.1
Isaiah Rider,https://en.wikipedia.org/wiki/Isaiah_Rider,1971-03-12,1.96,98.0,American,9405.0,16.7,2166.0,3.8,1535.0,2.7
Jackie Ridgle,https://en.wikipedia.org/wiki/Jackie_Ridgle,1948-02-13,1.93,88.0,American,,,,,,
Luke Ridnour,https://en.wikipedia.org/wiki/Luke_Ridnour,1981-02-13,1.88,79.0,American,7740.0,9.3,1877.0,2.3,3713.0,4.5
Bill Riebe,https://en.wikipedia.org/wiki/Bill_Riebe,1917-08-15,1.8,79.0,American,,,,,,
Mel Riebe,https://en.wikipedia.org/wiki/Mel_Riebe,,,,,,,,,,
Bob Riedy,https://en.wikipedia.org/wiki/Bob_Riedy,1945-08-26,1.98,98.0,American,,,,,,
Jim Riffey,https://en.wikipedia.org/wiki/Jim_Riffey,1923-12-14,1.93,91.0,American,150.0,4.3,61.0,1.7,16.0,0.5
Antoine Rigaudeau,https://en.wikipedia.org/wiki/Antoine_Rigaudeau,1971-12-17,2.01,102.0,French,,,,,,
Ted Rigg,https://en.wikipedia.org/wiki/Ted_Rigg,1913-06-07,1.83,79.0,American,,,,,,
Tom Riker,https://en.wikipedia.org/wiki/Tom_Riker,1950-02-28,2.08,102.0,American,,,,,,
Bob Riley,https://en.wikipedia.org/wiki/Bob_Riley_(basketball),1948-07-06,2.06,107.0,American,,,,,,
Eric Riley,https://en.wikipedia.org/wiki/Eric_Riley,1970-06-02,2.13,111.0,American,574.0,3.1,479.0,2.6,,
Pat Riley,https://en.wikipedia.org/wiki/Pat_Riley,1945-03-20,1.93,93.0,American,3906.0,7.4,855.0,1.6,913.0,1.7
Ron Riley,"https://en.wikipedia.org/wiki/Ron_Riley_(basketball,_born_1950)",1950-11-11,2.03,88.0,American,,,,,,
Richard Rinaldi,https://en.wikipedia.org/wiki/Richard_Rinaldi,1949-08-03,1.91,88.0,American,,,,,,
Mike Riordan,https://en.wikipedia.org/wiki/Mike_Riordan,1945-07-09,1.93,91.0,American,6334.0,9.9,1830.0,2.9,1524.0,2.4
Arnie Risen,https://en.wikipedia.org/wiki/Arnie_Risen,1924-10-09,2.06,91.0,American,,,,,,
Eddie Riska,https://en.wikipedia.org/wiki/Eddie_Riska,1919-10-04,1.83,79.0,American,,,,,,
Tex Ritter,https://en.wikipedia.org/wiki/Tex_Ritter_(basketball),1924-02-26,1.88,84.0,American,911.0,6.0,65.0,1.9,145.0,1.0
Austin Rivers,https://en.wikipedia.org/wiki/Austin_Rivers,1992-08-01,1.93,91.0,American,,,,,,
David Rivers,https://en.wikipedia.org/wiki/David_Rivers,1965-01-20,1.83,77.0,American,,,,,,
Doc Rivers,https://en.wikipedia.org/wiki/Doc_Rivers,1961-10-13,1.93,84.0,American,9377.0,10.9,,,4889.0,5.7
Red Robbins,https://en.wikipedia.org/wiki/Red_Robbins,1944-09-30,2.03,86.0,American,,,,,,
Lee Robbins,https://en.wikipedia.org/wiki/Lee_Robbins,,,,,,,,,,
Anthony Roberson,https://en.wikipedia.org/wiki/Anthony_Roberson,1983-02-14,1.88,82.0,American,,,,,,
Rick Roberson,https://en.wikipedia.org/wiki/Rick_Roberson,1947-07-07,2.06,105.0,American,3826.0,9.0,3522.0,8.3,591.0,1.4
Terrance Roberson,https://en.wikipedia.org/wiki/Terrance_Roberson,1976-12-30,2.01,98.0,American,,,,,,
Anthony Roberts,https://en.wikipedia.org/wiki/Anthony_Roberts_(basketball),1955-04-15,1.96,84.0,American,1658.0,7.8,837.0,3.9,265.0,1.2
Bill Roberts,https://en.wikipedia.org/wiki/Bill_Roberts_(basketball),,,,,,,,,,
Brian Roberts,https://en.wikipedia.org/wiki/Brian_Roberts_(basketball),1985-12-03,1.85,78.0,American,,,,,,
Fred Roberts,https://en.wikipedia.org/wiki/Fred_Roberts,1960-08-14,2.08,103.0,American,,,,,,
Glen Roberts,https://en.wikipedia.org/wiki/Glen_Roberts,1912-10-25,1.93,90.0,American,,,,,,
Joe Roberts,https://en.wikipedia.org/wiki/Joe_Roberts_(basketball),1936-05-18,1.98,97.0,American,1255.0,5.8,1075.0,4.9,123.0,0.6
Lawrence Roberts,https://en.wikipedia.org/wiki/Lawrence_Roberts_(basketball),1982-10-20,2.06,109.0,American,,,,,,
